session,voice,t_word,t_end_wall,asr_s,text,kind,object_query,object_deictic,noun_class,dest_deictic,to_user,bind_first,bind_vote,bind_dwell_s,bind_gap_s,bind_candidates,res_mode,res_object,res_dest,valid_binding,req_id,skill,detect_name,hint,dog_accepted,reject_reason,sent_wall,accepted_wall,final_state,done_wall,speech_to_dispatch_s,accept_to_done_s,final_msg,chain_req,chain_skill,chain_state,chain_accept_to_done_s
20260824-211233,False,710.48,,,拿一下水瓶,named,水瓶,False,,False,False,,,,,,名字,水瓶,,yes,20260824-211233-017,grasp,bottle,"[0.992, 0.455, 0.826]",True,,1787577864.29,1787577865.3,done,1787577870.34,,5.03,All tasks finished successfully.,,,,
20260824-211233,False,745.95,,,拿一下苹果粉,named,苹果粉,False,,False,False,,,,,,名字,苹果粉,,yes,20260824-211233-018,grasp,apple,"[0.745, 0.53, 0.78]",True,,1787577899.75,1787577901.77,done,1787577908.12,,6.35,All tasks finished successfully.,,,,
20260824-211233,False,789.83,,,拿一下香蕉,named,香蕉,False,,False,False,,,,,,名字,香蕉,,yes,20260824-211233-019,grasp,banana,"[0.99, 0.59, 0.763]",True,,1787577943.63,1787577944.71,done,1787577951.31,,6.59,All tasks finished successfully.,,,,
20260824-211233,False,817.75,,,拿一下红杯,named,红杯,False,,False,False,,,,,,名字,红杯,,yes,20260824-211233-020,grasp,cup,"[1.235, 0.603, 0.797]",True,,1787577971.56,1787577972.17,done,1787577978.61,,6.44,All tasks finished successfully.,,,,
20260824-215337,True,342139.68,1787579625.74,3.06,抓。,grab,,False,,False,False,,,,,,,,,n/a,,,,,,,,,,,,,,,,,
20260824-215337,True,342146.31,1787579629.25,5.2,"拿一下这个,把这个放到那里,放进去。",deictic,,True,,True,False,球L,0.501,0.78,1.727,"[{""object"": ""球L"", ""vote"": 0.501, ""dwell_s"": 0.78, ""gap_s"": 1.727}]",视线,球L,,yes,20260824-215337-001,grasp,apple,"[0.849, 0.359, 0.778]",True,,1787579638.09,1787579638.28,done,1787579643.65,8.84,5.37,All tasks finished successfully.,,,,
20260824-215337,True,342140.94,1787579659.23,1.25,拿一下这个网球。,deictic,球M,True,球,False,False,,,,,,,,,no,,,,,,,,,,,,,,,,,
20260824-215337,True,0.0,,,(急停),stop,,,,,,,,,,,,,,,20260824-215337-stop,stop,,,False,"skill must be one of: grasp, move, place",1787579629.47,,failed,,,,,,,,
20260824-215434,True,342199.81,1787579682.84,1.46,拿一下这个网球。,deictic,球M,True,球,False,False,球L,0.542,0.27,0.178,"[{""object"": ""球L"", ""vote"": 0.542, ""dwell_s"": 0.27, ""gap_s"": 0.178}]",视线,球L,,yes,20260824-215434-001,grasp,apple,"[0.849, 0.359, 0.778]",True,,1787579684.98,1787579685.0,done,1787579690.37,2.14,5.37,All tasks finished successfully.,,,,
20260824-215434,True,342224.05,,,拿一下网球M,named,球M,False,,False,False,,,,,,名字,球M,,yes,20260824-215434-002,grasp,apple,"[1.001, 0.353, 0.777]",True,,1787579707.36,1787579707.53,done,1787579712.79,,5.27,All tasks finished successfully.,,,,
20260824-215434,True,342238.73,1787579721.67,1.68,拿一下这个网球。,deictic,球M,True,球,False,False,球L,0.506,0.45,1.085,"[{""object"": ""球L"", ""vote"": 0.506, ""dwell_s"": 0.45, ""gap_s"": 1.085}, {""object"": ""球M"", ""vote"": 0.608, ""dwell_s"": 0.61, ""gap_s"": 3.501}]",,,,no,,,,,,,,,,,,,,,,,
20260824-215434,True,342250.39,1787579733.31,1.76,拿一下这个网球。,deictic,球M,True,球,False,False,球L,0.506,0.45,1.085,"[{""object"": ""球L"", ""vote"": 0.506, ""dwell_s"": 0.45, ""gap_s"": 1.085}, {""object"": ""球M"", ""vote"": 0.608, ""dwell_s"": 0.61, ""gap_s"": 3.501}]",视线,球L,,yes,20260824-215434-003,grasp,apple,"[0.849, 0.359, 0.778]",True,,1787579735.67,1787579735.88,done,1787579741.25,2.36,5.37,All tasks finished successfully.,,,,
20260824-215434,True,342276.39,1787579759.38,1.38,然后过来。,goto,,False,,False,True,,,,,,导航,你这里,,yes,20260824-215434-004,grasp,,null,True,,1787579765.58,1787579765.63,done,1787579773.36,6.2,7.73,All tasks finished successfully.,,,,
20260824-215434,True,342290.72,1787579773.74,1.45,过来。,goto,,False,,False,True,,,,,,导航,你这里,,yes,20260824-215434-005,grasp,,null,True,,1787579775.91,1787579775.95,done,1787579777.53,2.17,1.58,All tasks finished successfully.,,,,
20260824-215434,True,342297.48,1787579780.64,1.4,拿一下这个网球。,deictic,球M,True,球,False,False,球M,0.781,3.21,0.0,"[{""object"": ""球M"", ""vote"": 0.781, ""dwell_s"": 3.21, ""gap_s"": 0.0}]",视线,球M,,yes,20260824-215434-006,grasp,apple,"[1.001, 0.353, 0.777]",True,,1787579782.71,1787579782.75,done,1787579798.93,2.07,16.18,All tasks finished successfully.,,,,
20260824-215434,True,342330.17,1787579813.32,1.45,拿一下这个往前。,deictic,,True,,False,False,球L,0.813,1.32,0.0,"[{""object"": ""球L"", ""vote"": 0.813, ""dwell_s"": 1.32, ""gap_s"": 0.0}]",视线,球L,,yes,20260824-215434-007,grasp,apple,"[0.849, 0.359, 0.778]",True,,1787579818.16,1787579818.26,done,1787579823.64,4.84,5.37,All tasks finished successfully.,,,,
20260824-215434,True,342351.51,1787579834.72,1.5,把这个黄球拿给我。,deictic,球M,True,球,False,True,球M,0.678,0.36,0.427,"[{""object"": ""球M"", ""vote"": 0.678, ""dwell_s"": 0.36, ""gap_s"": 0.427}, {""object"": ""球L"", ""vote"": 0.971, ""dwell_s"": 0.49, ""gap_s"": 3.047}]",视线,球M,"[0.159, -1.295, 1.661]",yes,20260824-215434-008,grasp,apple,"[1.001, 0.353, 0.777]",True,,1787579839.68,1787579839.79,done,1787579844.97,4.95,5.18,All tasks finished successfully.,20260824-215434-008p,grasp,done,7.72
20260824-215434,True,342382.21,1787579865.44,1.61,拿一下这个杯子。,deictic,白杯,True,杯,False,False,,,,,,,,,no,,,,,,,,,,,,,,,,,
20260824-215434,True,342393.97,1787579876.89,1.6,拿一下这个杯子。,deictic,白杯,True,杯,False,False,,,,,,,,,no,,,,,,,,,,,,,,,,,
20260824-215434,True,342424.4,1787579907.23,1.57,拿一下这个杯子。,deictic,白杯,True,杯,False,False,白杯1,0.918,2.16,0.0,"[{""object"": ""白杯1"", ""vote"": 0.918, ""dwell_s"": 2.16, ""gap_s"": 0.0}]",视线,白杯1,,yes,20260824-215434-009,grasp,cup,"[1.145, 0.482, 0.804]",True,,1787579909.43,1787579909.42,done,1787579924.53,2.2,15.1,All tasks finished successfully.,,,,
20260824-215434,True,342453.19,1787579936.0,1.72,拿一下这个杯子。,deictic,白杯,True,杯,False,False,白杯2,0.51,0.3,0.414,"[{""object"": ""白杯2"", ""vote"": 0.51, ""dwell_s"": 0.3, ""gap_s"": 0.414}, {""object"": ""白杯1"", ""vote"": 0.99, ""dwell_s"": 0.61, ""gap_s"": 3.677}]",视线,白杯2,,yes,20260824-215434-010,grasp,cup,"[1.28, 0.447, 0.804]",True,,1787579938.44,1787579938.43,done,1787579944.71,2.44,6.28,All tasks finished successfully.,,,,
20260824-215434,True,342460.72,1787579948.66,1.2,放到那里。,fetch,,False,,True,False,,,,,,放置,,"[1.2444387848009053, 0.3396114788823149, 0.766230983023319]",yes,20260824-215434-011,place,cup,null,True,,1787579952.39,1787579952.38,done,1787579957.59,3.73,5.21,All tasks finished successfully.,,,,
20260824-215434,True,342478.27,1787579961.02,1.56,把这个往球拿来。,deictic,,True,球,False,True,球R,0.645,3.5805094999959692,0.0,"[{""object"": ""球R"", ""vote"": 0.645, ""dwell_s"": 3.5805094999959692, ""gap_s"": 0.0}, {""object"": ""球R"", ""vote"": 0.662, ""dwell_s"": 0.57, ""gap_s"": 2.249}]",视线,球R,"[0.889, -1.404, 1.652]",yes,20260824-215434-012,grasp,apple,"[1.18, 0.355, 0.777]",True,,1787579963.2,1787579963.19,done,1787579968.77,2.18,5.58,All tasks finished successfully.,20260824-215434-012p,grasp,done,7.83
20260824-215434,True,342509.5,1787579992.22,4.35,到这里。,goto,,False,,False,False,,,,,,,,,n/a,,,,,,,,,,,,,,,,,
20260824-215434,True,342515.05,1787579997.89,1.6,把这个被一直拿来。,deictic,杯子,True,杯,False,True,,,,,,,,,no,,,,,,,,,,,,,,,,,
20260824-215434,True,342524.06,1787580006.83,1.8,把这个杯子拿来。,deictic,,True,杯,False,True,红杯,0.872,0.28,0.313,"[{""object"": ""红杯"", ""vote"": 0.872, ""dwell_s"": 0.28, ""gap_s"": 0.313}, {""object"": ""白杯2"", ""vote"": 0.971, ""dwell_s"": 0.53, ""gap_s"": 0.667}, {""object"": ""白杯2"", ""vote"": 0.829, ""dwell_s"": 0.51, ""gap_s"": 2.013}]",,,,no,,,,,,,,,,,,,,,,,
20260824-215434,True,342538.8,1787580021.59,1.5,把这个杯子拿来。,deictic,,True,杯,False,True,红杯,0.872,0.28,0.313,"[{""object"": ""红杯"", ""vote"": 0.872, ""dwell_s"": 0.28, ""gap_s"": 0.313}, {""object"": ""白杯2"", ""vote"": 0.971, ""dwell_s"": 0.53, ""gap_s"": 0.667}, {""object"": ""白杯2"", ""vote"": 0.829, ""dwell_s"": 0.51, ""gap_s"": 2.013}]",视线,红杯,"[1.174, -0.129, 1.546]",yes,20260824-215434-013,grasp,cup,"[1.235, 0.603, 0.797]",True,,1787580023.77,1787580023.76,done,1787580038.63,2.18,14.87,All tasks finished successfully.,20260824-215434-013p,grasp,,
20260824-215434,True,0.0,,,(急停),stop,,,,,,,,,,,,,,,20260824-215434-stop,stop,,,False,"skill must be one of: grasp, move, place",1787579903.4,,failed,,,,,,,,
20260824-215434,True,0.0,,,(急停),stop,,,,,,,,,,,,,,,20260824-215434-stop,stop,,,False,skill endpoint timeout (2s),1787580078.67,,failed,,,,,,,,
