session,req_id,skill,object,goal,start,dist_m,waypoints,nav_s,grasp_s,place_s,accept_to_done_s,final
20260824-215434,20260824-215434-006,grasp,apple,"[1.2833364829619072, 0.9324509525691715, 1.3360919420308486]","[-0.258, -0.916, -2.364]",2.41,55,10.9,5.24,,16.18,done
20260824-215434,20260824-215434-007,grasp,apple,"[1.2833364829619072, 0.9324509525691715, 1.3360919420308486]","[1.074, 0.546, 1.387]",0.44,1,0.15,5.2,,5.37,done
20260824-215434,20260824-215434-008,grasp,apple,"[1.2833364829619072, 0.9324509525691715, 1.3360919420308486]","[1.078, 0.555, 1.391]",0.43,1,0.1,5.05,,5.18,done
20260824-215434,20260824-215434-008p,grasp,,"[0.05886173344846522, -0.719870115576016, -2.1669080579691515]","[1.075, 0.549, 1.393]",1.63,46,7.69,,,7.72,done
20260824-215434,20260824-215434-009,grasp,cup,"[1.2833364829619072, 0.9324509525691715, 1.3360919420308486]","[0.15, -0.718, -2.115]",2.0,46,9.11,5.96,,15.1,done
20260824-215434,20260824-215434-010,grasp,cup,"[1.2833364829619072, 0.9324509525691715, 1.3360919420308486]","[1.026, 0.549, 1.411]",0.46,1,0.1,6.15,,6.28,done
20260824-215434,20260824-215434-011,place,cup,"[1.2833364829619072, 0.9324509525691715, 1.3360919420308486]","[1.028, 0.547, 1.409]",0.46,1,0.1,,5.08,5.21,done
20260824-215434,20260824-215434-012,grasp,apple,"[1.2833364829619072, 0.9324509525691715, 1.3360919420308486]","[1.023, 0.553, 1.411]",0.46,1,0.05,5.5,,5.58,done
20260824-215434,20260824-215434-012p,grasp,,"[0.7698307819186414, -0.9180151346880638, -1.8589080579691517]","[1.025, 0.551, 1.411]",1.49,36,7.81,,,7.83,done
20260824-215434,20260824-215434-013,grasp,cup,"[1.2833364829619072, 0.9324509525691715, 1.3360919420308486]","[0.685, -0.906, -1.821]",1.93,36,8.69,6.15,,14.87,done
20260824-215434,20260824-215434-013p,grasp,,"[1.2097841340875086, 0.30916888590307734, -1.7779080579691515]","[1.073, 0.535, 1.412]",0.26,5,,,,,
20260826-144328,20260826-144328-002,grasp,apple,"[0.9474200203598107, 0.3, 1.46]","[0.907, -0.503, 1.206]",0.8,22,2.26,6.85,,9.15,done
20260826-144328,20260826-144328-003,place,storage box,"[-0.11, 1.37, 2.0999999999999996]","[1.007, 0.279, 1.483]",1.56,78,,,,,
20260826-144328,20260826-144328-004,place,storage box,"[-0.11, 1.37, 2.0999999999999996]","[1.367, 0.089, 0.495]",1.96,73,11.63,,5.48,17.28,done
20260826-144328,20260826-144328-005,grasp,apple,"[0.865292473322921, 0.3, 1.46]","[-0.136, 1.337, 2.186]",1.44,82,13.01,6.56,,19.76,done
20260826-144328,20260826-144328-006,place,storage box,"[-0.11, 1.37, 2.0999999999999996]","[0.819, 0.442, 1.528]",1.31,84,,,,,
20260826-144328,20260826-144328-007,grasp,cup,"[1.2563097396344542, 0.3, 1.46]","[1.241, 0.202, 0.369]",0.1,4,3.07,6.85,,9.95,done
20260826-144328,20260826-144328-008,place,storage box,"[-0.11, 1.37, 2.0999999999999996]","[1.11, 0.305, 1.624]",1.62,78,9.01,,5.39,14.55,done
20260826-144328,20260826-144328-009,grasp,cup,"[1.3605324359505975, 0.3, 1.46]","[-0.135, 1.337, 2.158]",1.82,83,13.75,6.55,,20.49,done
20260826-150647,20260826-150647-001,grasp,apple,"[1.097515111539131, 0.3, 1.46]","[1.346, 0.451, 1.512]",0.29,7,5.29,5.85,,11.17,done
20260826-150647,20260826-150647-001p,grasp,,"[0.1339746902232438, -1.1283980542496483, -2.0319080579691513]","[1.14, 0.378, 1.463]",1.81,43,9.41,,2.91,12.53,done
20260826-151227,20260826-151227-001,grasp,cup,"[1.3859610438412606, 0.3, 1.46]","[0.087, -1.156, -1.984]",1.95,50,9.01,6.0,,15.13,done
20260826-151227,20260826-151227-001p,grasp,,"[1.5487401555516898, -0.6108249845067663, -1.4619080579691517]","[1.354, 0.421, 1.449]",1.05,28,7.3,,3.11,10.57,done
20260826-151730,20260826-151730-001,grasp,cup,"[1.2563097396344542, 0.3, 1.46]","[0.572, -0.995, 1.824]",1.46,32,3.57,7.01,,10.63,done
20260826-151813,20260826-151813-001,grasp,apple,"[1.097515111539131, 0.3, 1.46]","[1.183, 0.279, 1.558]",0.09,4,2.16,5.95,,8.14,done
20260826-151813,20260826-151813-001p,grasp,,"[0.1679408504908566, -1.5760421462382206, -1.9419080579691517]","[1.069, 0.375, 1.579]",2.15,49,7.79,,3.36,11.4,done
20260826-152951,20260826-152951-001,grasp,apple,"[1.097515111539131, 0.3, 1.46]","[2.184, -3.726, -3.023]",4.17,107,11.21,6.14,,17.61,done
20260826-152951,20260826-152951-001p,grasp,,"[0.2539931706561769, -1.702389060648466, -1.8949080579691515]","[1.037, 0.321, 1.482]",2.17,49,8.31,,3.55,12.05,done
20260826-152951,20260826-152951-002,grasp,cup,"[1.3859610438412606, 0.3, 1.46]","[0.261, -1.789, -1.785]",2.37,55,9.42,5.85,,15.45,done
20260826-152951,20260826-152951-002p,grasp,,"[0.4393706056074791, 0.3940606837544236, -2.677908057969151]","[1.314, 0.489, 1.642]",0.88,16,,,,,
20260826-154154,20260826-154154-001,grasp,apple,"[1.097515111539131, 0.3, 1.46]","[0.098, -1.492, -2.047]",2.05,48,9.12,6.4,,15.63,done
20260826-154154,20260826-154154-001p,grasp,,"[-0.1023955089871607, -0.6957642607442318, -2.2429080579691516]","[1.062, 0.308, 1.452]",1.54,44,8.21,,4.9,13.32,done
20260826-154154,20260826-154154-002,grasp,apple,"[0.865292473322921, 0.3, 1.46]","[-0.084, -0.719, -2.098]",1.39,48,8.81,6.35,,15.26,done
20260826-154154,20260826-154154-002p,grasp,,"[-0.49835358506370764, -0.938036490498344, -2.1799080579691514]","[0.885, 0.427, 1.46]",1.94,55,8.39,,5.7,14.34,done
20260826-154154,20260826-154154-003,grasp,cup,"[1.2563097396344542, 0.3, 1.46]","[-0.322, -0.966, -2.146]",2.02,48,10.32,6.91,,17.36,done
20260826-154154,20260826-154154-003p,grasp,,"[1.1290435725167962, -0.007554024214191879, -1.7079080579691517]","[1.156, 0.314, 1.486]",0.32,9,,,,,
20260826-154154,20260826-154154-004,grasp,,"[-0.3405582014313916, -1.2894954902359022, -0.12390805796915139]","[1.049, -0.564, -1.737]",1.57,32,9.8,,,,done
20260826-155027,20260826-155027-002,grasp,apple,"[0.865292473322921, 0.3, 1.46]","[-0.272, -1.293, -0.064]",1.96,56,9.42,6.45,,16.02,done
20260826-155027,20260826-155027-003,grasp,cup,"[1.2563097396344542, 0.3, 1.46]","[0.907, 0.461, 1.525]",0.38,8,3.27,6.51,,9.8,done
20260826-155812,20260826-155812-001,grasp,apple,"[0.9474200203598107, 0.3, 1.46]","[2.887, -3.397, 2.995]",4.17,117,12.01,6.9,,19.24,done
20260826-155812,20260826-155812-001p,grasp,,"[0.674623586968959, -1.4481075748146104, -1.6899080579691517]","[0.993, 0.264, 1.5]",1.74,38,8.0,,4.85,13.04,done
20260826-160236,20260826-160236-001,grasp,apple,"[1.097515111539131, 0.3, 1.46]","[2.349, -3.443, 2.984]",3.95,108,10.91,6.0,,17.17,done
20260826-160236,20260826-160236-001p,grasp,,"[0.7675533096585603, -0.5477172985449386, -1.8089080579691517]","[1.058, 0.332, 1.444]",0.93,26,6.48,,4.75,11.4,done
20260826-160236,20260826-160236-002,grasp,apple,"[0.865292473322921, 0.3, 1.46]","[0.406, -1.159, 1.618]",1.53,44,8.46,6.31,,14.85,done
20260826-160236,20260826-160236-002p,grasp,,"[-0.08677686232294607, -0.21407683010052894, -2.2289080579691514]","[0.881, 0.468, 1.516]",1.18,51,10.93,,4.05,15.19,done
20260826-160236,20260826-160236-003,grasp,apple,"[0.9880101795371428, 0.3, 1.46]","[-0.098, -0.304, -2.227]",1.24,43,9.62,6.76,,16.46,done
20260826-160236,20260826-160236-004,grasp,,"[-0.3928544184596762, -1.345321546607565, -2.0929080579691517]","[1.002, 0.328, 1.505]",2.18,54,9.41,,,9.52,done
20260826-160236,20260826-160236-005,place,storage box,"[-0.11, 1.37, 2.0999999999999996]","[-0.363, -1.373, -2.028]",2.75,57,9.41,,3.88,13.6,done
20260826-160236,20260826-160236-006,grasp,cup,"[1.3605324359505975, 0.3, 1.46]","[-0.114, 1.381, 2.06]",1.83,84,14.75,6.25,,21.21,done
20260826-160236,20260826-160236-007,grasp,storage box,"[-0.11, 1.37, 2.0999999999999996]","[1.357, 0.491, 1.534]",1.71,84,10.73,6.46,,17.4,done
20260826-160236,20260826-160236-007p,grasp,,"[-0.21739206913642137, -1.2957860923463655, -1.5269080579691516]","[-0.148, 1.337, 2.214]",2.63,54,,,,,
20260826-161016,20260826-161016-001,grasp,apple,"[1.0837575557695656, 0.3, 1.46]","[0.844, -1.204, 1.371]",1.52,35,3.27,5.9,,9.24,done
20260826-161016,20260826-161016-001p,grasp,,"[0.30892726371902135, -0.9048522231150479, -2.0019080579691515]","[1.127, 0.34, 1.448]",1.49,37,8.61,,4.0,12.79,done
20260826-161016,20260826-161016-002,grasp,apple,"[0.9745250145462433, 0.3, 1.46]","[0.318, -1.021, -1.943]",1.48,37,8.51,6.95,,15.52,done
20260826-161016,20260826-161016-002p,grasp,,"[0.045125906253550396, -1.073091457671535, -1.9449080579691516]","[0.945, 0.31, 1.584]",1.65,44,7.69,,4.6,12.49,done
20260826-161140,20260826-161140-001,grasp,apple,"[1.0360200630426872, 0.3, 1.46]","[2.265, -3.349, 3.006]",3.85,107,11.03,6.16,,17.42,done
20260826-161140,20260826-161140-001p,grasp,,"[0.374522519756623, -1.511278488786687, -1.8729080579691517]","[1.051, 0.31, 1.45]",1.94,44,8.61,,3.86,12.66,done
20260826-161140,20260826-161140-002,grasp,apple,"[0.9506562681828041, 0.3, 1.46]","[0.35, -1.556, -1.902]",1.95,45,8.09,7.16,,15.36,done
20260826-161140,20260826-161140-002p,grasp,,"[-0.14748211328714753, -0.92844607924407, -2.0509080579691514]","[1.012, 0.257, 1.478]",1.66,45,7.8,,4.8,12.81,done
20260826-161657,20260826-161657-001,grasp,apple,"[1.1414530237386282, 0.4, 1.46]","[2.205, -3.435, 3.137]",3.98,108,11.33,5.45,,17.03,done
20260826-161657,20260826-161657-001p,grasp,,"[0.6128761732286513, -1.1588846422101666, -1.8119080579691516]","[1.104, 0.419, 1.471]",1.65,38,8.96,,3.85,13.05,done
20260826-161657,20260826-161657-002,grasp,apple,"[1.0033727485307746, 0.4, 1.46]","[0.659, -1.221, -1.656]",1.66,38,8.91,5.85,,14.84,done
20260826-161657,20260826-161657-002p,grasp,,"[0.20506563584650714, -1.1563561479446152, -1.8659080579691516]","[1.03, 0.46, 1.472]",1.81,45,,,,,
20260827-141003,20260827-141003-001,grasp,cup,"[1.2563097396344542, 0.4, 1.46]","[0.459, -0.774, 1.199]",1.42,37,4.78,6.2,,11.05,done
20260827-141003,20260827-141003-002,grasp,apple,"[0.9474200203598107, 0.4, 1.46]","[1.27, 0.477, 1.404]",0.33,9,5.64,5.5,,11.17,done
20260827-141003,20260827-141003-002p,place,storage box,"[-0.076, 1.227, 1.9559999999999995]","[0.945, 0.488, 1.534]",1.26,80,11.93,,5.78,17.88,done
20260827-141003,20260827-141003-003,grasp,apple,"[0.9880101795371428, 0.4, 1.46]","[-0.065, 1.255, 2.031]",1.36,79,14.35,5.75,,20.26,done
20260827-141003,20260827-141003-003p,place,storage box,"[-0.076, 1.227, 1.9559999999999995]","[0.984, 0.483, 1.449]",1.3,79,10.1,,5.78,16.02,done
20260827-141003,20260827-141003-004,grasp,cup,"[1.3859610438412606, 0.4, 1.46]","[-0.05, 1.242, 2.029]",1.66,81,14.65,5.95,,20.77,done
20260827-141003,20260827-141003-004p,place,storage box,"[-0.076, 1.227, 1.9559999999999995]","[1.37, 0.451, 1.434]",1.64,81,12.42,,5.74,18.33,done
20260827-143036,20260827-143036-001,grasp,apple,"[1.3859610438412606, 0.4, 1.46]","[1.043, 0.267, 1.286]",0.37,9,3.67,5.95,,9.65,done
20260827-143036,20260827-143036-002,place,storage box,"[-0.076, 1.227, 1.9559999999999995]","[1.36, 0.472, 1.428]",1.62,81,,,,,
20260827-143036,20260827-143036-003,grasp,cup,"[1.3555430071740415, 0.4, 1.46]","[1.099, 0.436, 1.416]",0.26,7,2.77,5.6,,8.4,done
20260827-143036,20260827-143036-004,place,storage box,"[-0.1, 1.353, 1.9269999999999996]","[1.356, 0.484, 1.434]",1.7,57,7.6,,3.78,11.47,done
20260827-143036,20260827-143036-005,grasp,cup,"[1.07, 0.4, 1.46]","[-0.12, 1.382, 1.972]",1.54,53,7.5,6.7,,14.29,done
20260827-143036,20260827-143036-005p,place,storage box,"[-0.076, 1.227, 1.9559999999999995]","[0.995, 0.469, 1.554]",1.31,51,7.29,,5.49,12.85,done
20260827-143036,20260827-143036-006,grasp,apple,"[0.9645257408625083, 0.4, 1.46]","[-0.093, 1.275, 1.948]",1.37,52,6.39,6.25,,12.71,done
20260827-143036,20260827-143036-006p,place,storage box,"[-0.076, 1.227, 1.9559999999999995]","[0.989, 0.442, 1.406]",1.32,51,7.2,,5.38,12.65,done
20260827-143036,20260827-143036-007,grasp,apple,"[0.9645257408625083, 0.4, 1.46]","[-0.101, 1.285, 1.987]",1.39,52,6.7,6.55,,13.32,done
20260827-143036,20260827-143036-007p,place,storage box,"[-0.076, 1.227, 1.9559999999999995]","[0.967, 0.452, 1.415]",1.3,51,6.49,,5.33,11.89,done
20260827-143036,20260827-143036-008,grasp,apple,"[-0.15821138870623763, 0.4, 1.46]","[-0.164, 1.269, 2.029]",0.87,18,5.69,,,9.4,failed
20260827-145512,20260827-145512-001,grasp,apple,"[-0.076, 1.227, 1.9559999999999995]","[-0.172, 0.526, 1.504]",0.71,16,4.28,,,7.99,failed
20260827-145512,20260827-145512-002,grasp,apple,"[-0.076, 1.227, 1.9559999999999995]","[-0.153, 1.252, 1.974]",0.08,4,0.1,,,3.76,failed
20260827-145606,20260827-145606-001,grasp,apple,"[-0.076, 1.227, 1.9559999999999995]","[-0.15, 1.255, 1.973]",0.08,4,0.1,,,3.76,failed
20260827-145606,20260827-145606-002,grasp,apple,"[-0.076, 1.227, 1.9559999999999995]","[-0.147, 1.252, 1.973]",0.08,3,0.1,,,3.86,failed
20260827-145606,20260827-145606-003,grasp,apple,"[0.9117886112937624, 0.4, 1.46]","[-0.149, 1.256, 1.973]",1.36,53,6.69,6.61,,13.38,done
20260827-145606,20260827-145606-004,grasp,apple,"[0.9908943056468813, 0.4, 1.46]","[0.883, 0.455, 1.536]",0.12,4,0.1,6.21,,6.34,done
20260827-145606,20260827-145606-005,grasp,apple,"[0.9513414584703218, 0.4, 1.46]","[0.888, 0.457, 1.538]",0.09,4,0.1,6.1,,6.23,done
20260827-145606,20260827-145606-007,grasp,cup,"[1.6183665164165815, 0.4, 1.46]","[0.888, 0.461, 1.54]",0.73,16,3.87,5.85,,9.76,done
20260827-145606,20260827-145606-007p,place,storage box,"[-0.076, 1.227, 1.9559999999999995]","[1.523, 0.5, 1.538]",1.76,57,8.39,,5.98,14.47,done
20260827-145606,20260827-145606-008,grasp,cup,"[1.3441832582082907, 0.4, 1.46]","[-0.116, 1.206, 1.983]",1.67,53,7.3,5.71,,13.08,done
20260827-145606,20260827-145606-008p,place,storage box,"[-0.076, 1.227, 1.9559999999999995]","[1.245, 0.501, 1.463]",1.51,52,6.99,,5.92,12.99,done
20260827-145606,20260827-145606-009,grasp,apple,"[0.8838909285112576, 0.4, 1.46]","[-0.146, 1.208, 1.96]",1.31,53,6.09,6.81,,12.97,done
20260827-145606,20260827-145606-009p,place,storage box,"[-0.076, 1.227, 1.9559999999999995]","[0.866, 0.42, 1.484]",1.24,53,6.29,,5.73,12.1,done
20260827-145606,20260827-145606-010,grasp,cup,"[0.8838909285112576, 0.4, 1.46]","[-0.108, 1.263, 1.978]",1.31,54,6.49,7.21,,13.78,done
20260827-145606,20260827-145606-010p,place,storage box,"[-0.076, 1.227, 1.9559999999999995]","[0.842, 0.448, 1.538]",1.2,54,5.99,,5.73,11.8,done
20260827-145606,20260827-145606-011,grasp,cup,"[0.8838909285112576, 0.4, 1.46]","[-0.152, 1.196, 2.038]",1.31,52,6.39,7.21,,13.68,done
20260827-145606,20260827-145606-011p,place,storage box,"[-0.076, 1.227, 1.9559999999999995]","[0.85, 0.479, 1.515]",1.19,53,6.19,,5.58,11.85,done
20260827-145606,20260827-145606-012,grasp,orange,"[1.072897630718459, 0.4, 1.46]","[-0.135, 1.212, 1.972]",1.46,50,6.7,6.9,,13.66,done
20260827-145606,20260827-145606-012p,place,storage box,"[-0.076, 1.227, 1.9559999999999995]","[1.039, 0.436, 1.496]",1.37,50,6.99,,5.39,12.45,done
20260827-150419,20260827-150419-001,grasp,cup,"[1.6183665164165815, 0.4, 1.46]","[1.176, -0.561, 1.028]",1.06,29,5.29,5.91,,11.27,done
20260827-150419,20260827-150419-002,grasp,apple,"[0.982443984955525, 0.4, 1.46]","[0.912, -0.542, 1.3]",0.94,22,2.26,5.86,,8.16,done
20260827-150419,20260827-150419-002p,grasp,,"[0.024547900141560136, -1.4003237997533338, -1.9819080579691517]","[0.935, 0.499, 1.511]",2.11,47,,,,,
20260827-150419,20260827-150419-003,grasp,apple,"[0.9999551879644201, 0.4, 1.46]","[0.26, -1.062, 2.267]",1.64,37,6.49,5.2,,11.77,done
20260827-150419,20260827-150419-003p,grasp,,"[-0.06252451809873279, -1.3955121091632858, -2.0149080579691514]","[0.968, 0.494, 1.475]",2.15,46,9.31,,,,
20260827-150419,20260827-150419-004,grasp,apple,"[0.996452947362641, 0.4, 1.46]","[-0.078, -1.45, -2.076]",2.14,47,9.32,,,,
20260827-150419,20260827-150419-005,grasp,apple,"[1.1625580943707097, 0.4, 1.46]","[0.929, -0.267, 1.497]",0.71,16,2.16,,,,
20260827-150419,20260827-150419-006,grasp,storage box,"[-0.076, 1.227, 1.9559999999999995]","[1.084, 0.444, 1.567]",1.4,50,,,,,
20260827-150419,20260827-150419-007,grasp,cup,"[1.4781788836644694, 0.4, 1.46]","[-0.087, 1.097, 1.904]",1.71,53,,,,,
20260827-150419,20260827-150419-008,grasp,cup,"[1.2714758713522036, 0.4, 1.46]","[-0.091, 1.094, 1.904]",1.53,49,,,,,
20260827-150941,20260827-150941-001,grasp,cup,"[1.3128164738146568, 0.4, 1.46]","[-0.087, 1.099, 1.904]",1.56,50,17.68,5.61,,23.36,done
20260827-151147,20260827-151147-001,grasp,apple,"[1.1863740785802108, 0.4, 1.46]","[2.105, -3.425, 2.844]",3.93,104,9.11,5.51,,14.9,done
20260827-151147,20260827-151147-001p,grasp,,"[0.4683520632060755, -1.5913367795060547, -1.8549080579691517]","[1.094, 0.447, 1.494]",2.13,43,9.11,,3.85,13.21,done
20260827-151147,20260827-151147-002,grasp,apple,"[0.8844320970047164, 0.4, 1.46]","[0.476, -1.646, -1.849]",2.09,46,8.21,6.46,,14.83,done
20260827-151147,20260827-151147-003,place,storage box,"[-0.076, 1.227, 1.9559999999999995]","[0.881, 0.433, 1.46]",1.24,53,6.09,,5.93,12.1,done
20260827-151658,20260827-151658-001,grasp,apple,"[0.9448204933198152, 0.4, 1.46]","[0.407, -1.736, 1.103]",2.2,49,4.88,6.61,,11.67,done
20260827-151658,20260827-151658-002,grasp,apple,"[0.8838909285112576, 0.4, 1.46]","[0.95, 0.42, 1.438]",0.07,3,0.1,6.66,,6.79,done
20260827-151927,20260827-151927-001,grasp,apple,"[1.1997799086684582, 0.4, 1.46]","[0.477, -1.527, 1.236]",2.06,43,4.68,5.35,,10.16,done
20260827-151927,20260827-151927-001p,grasp,,"[0.2821574390245021, -1.0875307119606397, -1.9999080579691515]","[1.151, 0.477, 1.397]",1.79,38,9.31,,3.85,13.37,done
20260827-151927,20260827-151927-002,grasp,apple,"[0.857934946777566, 0.4, 1.46]","[0.238, -1.107, -2.111]",1.63,40,8.41,6.36,,14.86,done
20260827-151927,20260827-151927-003,place,storage box,"[-0.076, 1.227, 1.9559999999999995]","[0.866, 0.447, 1.401]",1.22,53,6.99,,5.73,12.8,done
20260827-151927,20260827-151927-004,grasp,cup,"[0.857934946777566, 0.4, 1.46]","[-0.115, 1.254, 1.916]",1.29,54,6.64,7.35,,14.08,done
20260827-151927,20260827-151927-005,grasp,,"[0.1256675021688189, -1.9156545179096065, -1.3779080579691516]","[0.872, 0.466, 1.537]",2.5,56,11.33,,,11.5,done
20260827-152338,20260827-152338-001,grasp,apple,"[0.8243509679875052, 0.4, 1.46]","[0.19, -1.409, 1.415]",1.92,43,5.28,6.85,,12.25,done
20260827-152338,20260827-152338-002,place,storage box,"[-0.076, 1.227, 1.9559999999999995]","[0.847, 0.414, 1.448]",1.23,49,5.49,,5.84,11.4,done
20260827-152338,20260827-152338-003,grasp,cup,"[0.8243509679875052, 0.4, 1.46]","[-0.159, 1.204, 1.983]",1.27,50,6.38,7.5,,13.96,done
20260827-152338,20260827-152338-004,place,storage box,"[-0.076, 1.227, 1.9559999999999995]","[0.806, 0.467, 1.534]",1.16,50,6.09,,5.68,11.85,done
20260827-152518,20260827-152518-001,grasp,cup,"[0.8243509679875052, 0.4, 1.46]","[-0.13, 1.233, 1.995]",1.27,49,6.28,,,,
20260827-152642,20260827-152642-001,grasp,cup,"[0.6908467473904873, 0.4, 1.46]","[0.784, 0.429, 1.516]",0.1,3,1.46,,,5.17,failed
20260827-152642,20260827-152642-003,grasp,apple,"[1.935292473322921, 0.4, 1.46]","[0.718, 0.475, 1.487]",1.22,19,5.08,5.45,,10.57,done
20260827-152642,20260827-152642-004,grasp,cup,"[3.3212535171641817, 0.4, 1.46]","[1.611, 0.5, 1.419]",1.71,2,0.1,6.31,,6.44,done
20260827-152642,20260827-152642-005,grasp,,"[-0.348212961720331, 1.6444235871504513, 1.9370919420308486]","[1.617, 0.39, 1.429]",2.33,60,12.04,,,12.15,done
20260827-152642,20260827-152642-006,grasp,apple,"[0.865292473322921, 0.4, 1.46]","[-0.314, 1.484, 1.994]",1.6,53,7.18,6.86,,14.38,done
20260827-152642,20260827-152642-007,grasp,cup,"[1.3859610438412606, 0.4, 1.46]","[0.912, 0.486, 1.414]",0.48,11,4.48,6.31,,10.82,done
20260827-152642,20260827-152642-008,grasp,cup,"[1.2563097396344542, 0.4, 1.46]","[1.399, 0.497, 1.439]",0.17,4,1.36,6.2,,7.59,done
20260827-152642,20260827-152642-009,grasp,cup,"[1.268634330981987, 0.4, 1.46]","[1.376, 0.388, 1.501]",0.11,4,1.76,5.9,,7.69,done
20260827-152642,20260827-152642-010,place,storage box,"[-0.076, 1.227, 1.9559999999999995]","[1.313, 0.473, 1.46]",1.58,52,7.66,,6.03,13.78,done
